review,color,condition,correctness,durability,effectiveness,functionality,material,sensory,measurement,general
grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,0,0,1,1,0,0,1,0,1,1
d po maganda naman po yung neck fan pero po napaka tagal po sya dumating dec9 po dec 23 napo sya dumating chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller,0,0,0,0,1,0,0,0,0,1
010 sa effectiveness po nya 010 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes pero hindi man pla scam lang po,0,0,0,0,1,0,0,0,0,0
maganda dn same sa picture maganda sya medyo maliit nga lang sya,0,0,1,0,0,0,0,0,1,0
not worth it ang bilis nya malowbat and ang tagal nya pang icharge,0,0,0,1,0,1,0,0,0,0
ayaw gumana ng remote control my dent ung product na pinadala ni seller sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item,0,1,0,0,0,1,0,0,0,0
excited ako sa order ko kasi matagal ko na gusto bumili ng mga mystery item so dahil 66 weve decided to order 5 mystery pouch expect ko 5 packs ang makukuha ko akala ko may sari sariling balot yun pala 5 products na sya sa iisang pouch,0,1,0,0,0,0,0,0,0,0
wrong color po yung dumating tapos yung green natanggal yung cover niya,0,1,0,0,0,0,0,0,0,0
510 ang mahal ng payong nd nmn ganun ka quality sira pa sabi ko seller if ayaw bilik pera ko change items nd na nag reply,0,1,0,0,0,0,0,0,0,1
close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me the problem is i ordered it as gift for a man so purple is not really ok and both bottles have scratches doesnt look new for me,0,1,0,0,0,0,0,0,0,1
ang pangit ng item sorry ahhh n ung size kala mo pang bata,0,0,0,0,0,0,0,0,1,1
5 mystery box binili ko pero 5 din na magkapareho na mystery box anong mystery jan bumili paman din ako ng 5 para ma surprise ako na surprise nga kasi magkaka pareho umay wala man lang mouse o keyboard,0,0,1,0,0,0,0,0,0,0
010 d maganda yung product matqgal matuyo kumakalat sa mata hindi water proof,0,0,0,0,1,1,0,0,0,1
good quality product ok naman ung order mabilis dumating well pack din kaso orde ko lima tapos isa lang ang dumating ok lang kasi nakarefund ako try ko ulit umorder sa kanila baka kasi nalito lang si seller at magpapasko madaming order,0,0,0,0,0,0,0,0,0,1
sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto syahindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako,0,0,0,1,0,1,0,0,0,0
madikit naman kaso di pantay pantay yung cut di pantay pantay yung cut sa 1st 2 lines di pantay yun yung galing sa shop na to while sa 3rd lines sa ibang shopping app ko na binili di pantay pantay yung cut,0,0,1,0,1,0,0,0,0,0
di nasunod yung ibang color na inorder ko pero oks lng good quality nmn,0,0,0,0,0,0,0,0,0,1
nung pagkabukas ko package yung keyboard is nakabukaka slightly open kala ko sira na fast delivery naman,0,1,0,0,0,0,0,0,0,0
ang dali ra masira oy at first madali gamitin ngayon ay di na nakakaputol ng hair na sstuck na sya yun lang thanks,0,0,0,1,1,1,0,0,0,0
change feedback mag isa syang nag aactivate nang timer kagabi parang sira,0,0,0,0,0,1,0,0,0,0
dalawa yung binili ko isa sakin tsaka sa friend ko first of all kaunti lang yung laman nung isa habang medyo mas lamang yung sa isa about sa color maroon yung sa tingin kong dapat maging kakalabasan niya pero violet yung kulay niya kapag nilagay na sa labi also kulang,1,1,0,0,0,0,0,0,0,0
ok na sana pero hindi 10 meters 6 meters lang saan ang 4 meters kada isang roll magpa katotoo naman sa post niyo,0,0,0,0,0,0,0,0,1,0
amoy plastic amputa tagal ko inorder now lang dumating amoy plastic pa huhu why,0,0,0,0,0,0,0,1,0,0
not good not satisfied omg sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business sobrang nanghinayang ako,0,0,1,0,0,0,0,0,0,1
actually kala ko 10meters pro 6meters lang ng sinukat ko,0,0,0,0,0,0,0,0,1,0
late dumating ung parcel and sira ung producthnd gmaganaon lng tpos wla na,0,0,0,0,0,1,0,0,0,0
i dont think nsa 10meters ito lukot pa,0,1,0,0,0,0,0,0,1,0
hindi ko nagustuhan yung amoy i already received my parcel pero nung pag ka open ko may leak and hindi ko nagustuhan yung amoy nakakasuka yung amoy this is my first time to buy a product in this shop and i expect too much nakakadismaya,0,0,0,0,0,0,0,1,0,0
parang laruan yung glads niya so dissapointed,0,0,0,0,0,0,1,0,0,0
di gumagana mic sabog pa tunog ang sabi ko bago ko i place order ko ay ipa double check yung product pero di nakinig,0,0,0,0,0,1,0,1,0,0
sira sya at may amoy na ung adoptor diko bet kase nasayang lng pera ko,0,0,0,0,0,1,0,1,0,0
010 di naman sya gumagawa e not satisfied buyer her,0,0,0,0,0,1,0,0,0,0
hindi gumagana yung mic and mahina ang sounds not recommend,0,0,0,0,1,1,0,0,0,0
sobrang dismayado scammmmm ang poweradjust button as in hollow talaga defected ang ibinigay ni seller sana hindi mangyari sa iba baka naman seller may magawa kang compromise para dito,0,1,0,0,0,0,0,0,0,0
ok po sana kaso hindi po stretchable kaya hindi kasya yung biggest size nila,0,0,0,0,0,1,0,0,1,0
idk nabili ko sa piso sale gumagana naman kaso ilang minuto na ako nagchacharge ganun parin battery percent hindi nadadagdagan o minsan 1 lang na dagdag sa loob ng 10 mins,0,0,0,0,0,1,0,0,0,0
1 earbuds is not working di gumagana ang isang earbuds sayang maganda sana next time po paki double check kung working ang product na binibenta nyo bago i ship sa buyer,0,0,0,0,0,1,0,0,0,0
good masikip na kontingbut good quality maganda ang fit sa paa,0,0,0,0,0,0,0,0,1,1
akala ko maganda sana sa shop nlng ako na una ko inorderan bumili di mn lng nag iiba ng kulay pag nasa outdoor  anti rad lng to tapos malaki pa,0,0,0,0,0,1,0,0,0,0
salamat po seller good quality pa din pangalawang beses ko na itong bili sa item na to hindi ito akin pinabili lang nakakabadtrip lang po ang ninja van bukod sa sakto sa time frame talaga na delay pa ang delivery nila akoy naiinis dahil hindi ko napansin na sila pala,0,0,0,0,0,0,0,0,0,1
