Topic,Count,Name,Representation,Representative_Docs
-1,3818,-1_item_seller_order_product,"['item', 'seller', 'order', 'product', 'kasi', 'maganda', 'items', 'thank_seller', 'good', 'thank']","['nice items maganda salamat_shopee', 'items pinadala kala okay seller pcs order pinadala nag bayad nag ayos deliver nakaka disappointed seller store', 'thank ok product']"
0,1026,0_color_black_white_pink,"['color', 'black', 'white', 'pink', 'blue', 'wrong_color', 'green', 'order', 'colors', 'red']","['white order gray pinadala okay maganda', 'wrong_color green black_order blue black_dumating hehe goods item', 'color dumating satisfied ibang size colors dumating']"
1,515,1_size_maliit_size_sizes_add_size,"['size', 'maliit_size', 'sizes', 'add_size', 'maliit', 'large', 'xl', 'kasya', 'paa', 'medium']","['wrong_size binigay order size size binigay', 'complete_orders dalawang slippers maliit inorder size size nung slipper kulay black maliit_size nakalagay size', 'disappointed quality picture maganda size order parang size lng liit']"
2,455,2_dumating_sira_agad_ok,"['dumating', 'sira', 'agad', 'ok', 'lng', 'sana', 'pwede', 'maganda', 'kasi', 'aq']","['maganda maliit pwede ok yan', 'maganda item gumagana sobrang_tagal dumating dec aq nag check jan dumating', 'maganda dumating order']"
3,316,3_price_worth_worth_price_good_price,"['price', 'worth', 'worth_price', 'good_price', 'ok_price', 'maganda', 'sakto_price', 'okay_price', 'quality', 'affordable']","['maganda worth_price', 'ganda worth', 'okay lng price']"
4,191,4_food_place_masarap_staff,"['food', 'place', 'masarap', 'staff', 'taste', 'service', 'eat', 'chicken', 'serving', 'restaurant']","['could one worst restaurant experience ever food taste meh servea order minute interval malamig ibang food pagdating mong order staff also enthusiastic nakasimangot kausap', 'poor_service malamig food mainit place', 'tagal food service']"
5,190,5_good_quality_maganda_quality_good_poor_quality,"['good_quality', 'maganda_quality', 'good', 'poor_quality', 'recommended', 'maganda', 'quality', 'ganda_quality', 'low_quality', 'manipis']","['good_quality ganda', 'good_quality', 'maganda good_quality']"
6,186,6_damage_item_items_damaged,"['damage', 'item', 'items', 'damaged', 'box', 'product', 'salamat', 'thank_seller', 'maayos', 'thank']","['ganda damage thankyou_seller', 'damage dumating', 'damage dumating']"
7,163,7_shoes_sandals_socks_slippers,"['shoes', 'sandals', 'socks', 'slippers', 'boots', 'sock', 'size', 'ganda_shoes', 'legs', 'love_love']","['maganda shoes price see_get', 'maganda shoes see', 'good really satisfied order shoes cute sulit_price shoes order_shop']"
8,142,8_rider_ganda_ganda_kuya_rider_thank_seller,"['rider', 'ganda_ganda', 'kuya_rider', 'thank_seller', 'thank_kay', 'thank_seller_rider', 'thankyou_seller', 'good', 'kuyang_rider', 'thank_seller_kay_kuya']","['sakto thanks_seller rider well_packaged', 'thank_seller maganda item thank den rider', 'maliit maganda thanks_seller rider']"
9,137,9_bubble_wrap_naka_bubble_wrap_box_fragile,"['bubble_wrap', 'naka_bubble_wrap', 'box', 'fragile', 'naka_bubble', 'open', 'wipes', 'bubble', 'item', 'packaging']","['requested bubble_wrap nasa plastic buti nasira', 'worth sira alam seller fragile ipapadala man nilagay bubble_wrap', 'sira_box bubble_wrap sana']"
10,110,10_refund_return_sayang_pera_return_refund,"['refund', 'return', 'sayang_pera', 'return_refund', 'pesos', 'seller', 'voucher', 'gcash', 'sira', 'items']","['good dumating sira dami process refund', 'sira green slippers nung chinat_si seller refund daw pwede full refund discount lng daw refund request pesos lng irefund worth_pesos slippers dumi maliit green', 'nakaka badtrip refund seller gumagana sayang_pera']"
11,103,11_battery_battery_life_rechargeable_gumagana,"['battery', 'battery_life', 'rechargeable', 'gumagana', 'gb', 'batteries', 'wala', 'sira', 'level', 'pwede_lagyan']","['kwenta gumagana bumili bagong battery eveready energizer battery wala tlga sayang_lng pinambili battery mas_mahal battery kesa item mapapala nainis lng next_time_seller try_muna gumagana', 'wala itong battery disappointed', 'super_ganda battery thank_seller']"
12,99,12_super_ganda_love_super_super_love,"['super_ganda', 'love', 'super', 'super_love', 'love_thankyou', 'super_cute', 'super_laki', 'thank_much_seller', 'super_duper', 'super_nipis']","['see_get super_ganda talaga', 'good super_ganda', 'legit super_ganda']"
13,97,13_order_order_ulit_nd_order_sept,"['order', 'order_ulit', 'nd_order', 'sept', 'unang_order', 'persons', 'order_received', 'kona', 'nio', 'pwd']","['manloloko yeezy slides order hinabol order pra kay misis dn daw mag karoon slides dumating potek bahay pwedeng basain tigas rubber nag kakalyo paa sayang hihintay almost_weeks haist', 'ndi pla maasahan shoopee order disappointed talaga dnala nio ndiktulad sample order nung_dati pirado lng ok ngaun aya nio lng kmi npaka pngit dinala nio', 'pangit treatment owner group kahapon left binabantayan kita magkakaroon left overs per plate ubos putahe serving refill nababantayan bottomless icetea kelangan silang tawagin nilalatag pitsel per']"
14,94,14_god_bless_godbless_maraming_salamat_merry_christmas,"['god_bless', 'godbless', 'maraming_salamat', 'merry_christmas', 'salamat', 'thank_god_bless', 'salamat_seller', 'seller_god_bless', 'stay_safe', 'thank']","['good maraming_salamat sayo seller ganda item order get god_bless', 'maganda nagustuhan salamat_seller god_bless salamat nagdeliver', 'thank ganda order inyo god_bless']"
15,91,15_charger_charge_charging_charging_port,"['charger', 'charge', 'charging', 'charging_port', 'charging_pin', 'usb', 'working', 'gumana', 'hangin', 'sira']","['charger strap', 'ok_xa lng box charger lng free charger', 'charger working fan charge halatang pinadala nde tinest charge gamit ibang charger power hangin_lumalabas umaalog loob sira working ask_refund']"
16,90,16_sound_sounds_audio_mic,"['sound', 'sounds', 'audio', 'mic', 'sound_quality', 'basag', 'bass', 'volume', 'tenga', 'game_mode']","['good sound sana agad masira', 'basag sound mic sira parang parang wala umay', 'okay sound mic nagana']"
17,89,17_scent_perfume_smell_cloud,"['scent', 'perfume', 'smell', 'cloud', 'amoy', 'coconut', 'sweet', 'smells_like', 'inspired', 'oily']","['sure anong smell perfume toh disappointed', 'watery preference smell good scent sweet reviewers say smell close cloud scent nakakasuka think lng prefer smells sweet_like pawis rubber idk', 'oily first_time buy perfume shop im kind disappointed cause smell met expectations oo mura wala_akong naaamoy cloud_ariana perfume natoh huhu amoy ibang perfume inspired ariana cloud nabili']"
18,85,18_thank_thankyou_maganda_nakuha_love,"['thank', 'thankyou', 'maganda', 'nakuha_love', 'thanks', 'thank_thank', 'thank_much', 'kuya', 'uulitin', 'ganda']","['thank maganda', 'maganda thank', 'maganda thank']"
19,80,19_ship_item_pinadala_seller,"['ship', 'item', 'pinadala', 'seller', 'items', 'wala', 'tagal', 'magreply', 'shop', 'piro']","['mali_pinadala seller kulay order green black pinadala_seller purple_blue sunod send pictures ship piro ok_lng matibay sayang_lng puro lalaki_anak mli kulay ok_lng blue piro', 'ordered itong damaged namn ship defect gumagana tong umiinit sana ship check_muna mabuti ksi box ok shipment problem', 'maganda slippers malambot_paa mabilis magpa ship seller konting request sana_nextime sana wala stain scratches reresell kasi nagrereklamo ibang buyer nakaka receive damage hassle magbalik sana anything pina ship thanks']"
20,72,20_order_thank_seller_complete_order_delivery,"['order', 'thank_seller', 'complete_order', 'delivery', 'order_received', 'product', 'good', 'today', 'second_time', 'loved']","['good complete_order dumating okay product medyo_matagal delivery', 'finally order_received got fifteen days understandable typhoon got delayed delayed worries loved product though masikip size hehe quality much nice affordable_price thanks_seller', 'good order thank_seller']"
