Review,handling,responsiveness,trustworthiness,general
mahirap buksan yung payong need mo pa itulak sana na check man lang bago ipadala,1,0,0,0
wrong color  design sana kung di na available yung black mag message namn kayo if ano available desisyon yarrrnnn kakainis ganitong seller,0,1,0,0
ayaw gumana ng remote control my dent ung product na pinadala ni seller sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item,1,0,0,0
510 ang mahal ng payong nd nmn ganun ka quality sira pa sabi ko seller if ayaw bilik pera ko change items nd na nag reply,1,1,0,0
mali po ata yung na bigay ni seller were expecting na ma received yung parang gradient na water bottle pero iba po yung na received namin but okay lang anjan na yan eh,1,0,0,0
wala seller service is excellent delivery was immidiate the product itself is poor very very weak airflow almost cant feel it hindi man lang ma ihip yung buhok ng aso,0,0,0,1
ok na sana pero hindi 10 meters 6 meters lang saan ang 4 meters kada isang roll magpa katotoo naman sa post niyo,0,0,1,0
subrang tagal e ship nag order ako ng 9 9 ngayon ko palang na receive 924 mag 1 month bago ko marecive ang item ang pangit ng service di responsible si seller,0,0,0,1
di gumagana mic sabog pa tunog ang sabi ko bago ko i place order ko ay ipa double check yung product pero di nakinig,1,1,0,0
kulang ung parcel na pinadala kakaumay ung ganitong seller nxt tym check nyo muna mabuti bago ipadala hay naku never want to buy again in your shop,1,0,0,0
sayang ang pera sayang ang peranagmessage ako ky seller n make sure n wlang deffect ang item bgo i ship pero no response hndi rin nagsend ng picture bgo i ship pagdating ng item di gumagananagmessage ako para sbihin n deffective ang item pero no response,0,1,0,0
i dont know what to say pero disappointed ako although magaganda yung nakuha ng mga kasama ko sa bahay yung nakuha ko eto gamepad at sampayan wala ring kwenta yung customer service walang reply at all ang tagal din ng deliver,0,1,0,1
1 earbuds is not working di gumagana ang isang earbuds sayang maganda sana next time po paki double check kung working ang product na binibenta nyo bago i ship sa buyer,1,0,0,0
