General Aspect,Specific Aspect,Tag,Description,,Examples
Product,Color,PRO#COL,"Description: Feedback on the product's color, including its accuracy compared to the product listing or expectations, and general comments about the shade or hue. ",,"""True to color, same as photo."" 
""Mas mapula yung kulay kaysa sa ad."" 
""Ang ganda ng shade ng lipstick, bagay sa akin.""
""Yung actual color ay medyo mas light kaysa sa picture.""
""Kupas yung kulay pagdating."""
,,,"Use When: There are mentions of the actual color versus the listed color, or general comments about the product's color aesthetics (e.g., ""maganda yung kulay,"" ""pangit ang shade"").","Do NOT Use When: The color issue is due to receiving the wrong item variant entirely (e.g., ordered blue, received red; use DEL#COR). ",
,Condition,PRO#COND,"Description: Feedback on the product's physical state upon receipt, focusing on defects, damages, or completeness that likely occurred before shipping or are due to manufacturing.",,"""May gasgas yung product agad pagdating pero sealed naman yung box."" 
""Incomplete parts pag open ko ng box."" 
""May punit yung damit, mukhang tahi mismo ang may problema.""
""Maayos ang packaging pero yung item mismo may yupi na sa gilid, parang factory defect.""
""Hindi gumagana yung remote"""
,,,"Use When: The product has scratches, dents, tears, is incomplete, or has manufacturing flaws discovered upon opening, even if the packaging was intact.",Do NOT Use When: Damage is clearly attributed to shipping or transit (use DEL#COND).  The item received is completely different from what was ordered (use DEL#COR). ,
,Correctness,PRO#CORR,"Description: Feedback on whether the product's specifications, features, or included accessories match the product listing description.",,"""Sabi dual SIM, single SIM lang pala."" 
""Sa photo may kasamang charger pero wala sa box."" 
""Advertised as having a matte finish, pero glossy yung dumating.""
""Akala ko kasama na yung batteries, wala pala.""
""Lahat ng nakalagay sa description, kasama sa package. Kumpleto!"""
,,,"Use When: The item received is the correct general product, but some details, features (e.g., ""dual SIM""), version, or inclusions (e.g., ""charger"") are different from what was advertised or expected based on the listing. ","Do NOT Use When: A completely wrong item was delivered (use DEL#COR).  The color is different, but the item model is correct (use PRO#COL, unless the color was a specifically ordered specification not met, then it can be DEL#COR if wrong variant shipped). The size is different (use PRO#SIZE).",
,Durability,PRO#DUR,"Description: Comments about the product's perceived longevity, sturdiness, resilience, and ability to withstand normal use over time.",,"""Tatlong araw ko pa lang gamit, sira na agad yung zipper."" 
""Matibay ang materyales, mukhang tatagal."" 
""After 1 week of use, nagka-crack na agad yung case."" 
""Mukhang matibay at pang-matagalan ang pagkakagawa.""
""Ang dali masira, hindi maganda yung quality para sa presyo."""
,,,"Use When: There are mentions of fragility, easy breakage, material strength relating to wear and tear, good build quality for longevity, or how long the product lasts or is expected to last.",Do NOT Use When: The damage is due to delivery (use DEL#COND) or the user received it already broken due to pre-shipment issues (use PRO#COND). ,
,Effectiveness,PRO#EFF,Description: Feedback about how well the product performs its intended purpose or delivers its promised benefits.,,"""Ang bilis magpawala ng pimples yung cream."" 
""Okay siya, pero hindi ganun ka-effective sa akin."" 
""Yung humidifier, ang lakas ng usok – effective!"" 
""Hindi masyadong nakakalinis yung vacuum, mahina ang suction.""
""Gumagana naman pero 'di kasing ganda ng inaasahan ko yung resulta."""
,,,"Use When: The reviewer talks about the results, performance, or efficacy of the product in achieving its main function (e.g., ""nakakaputi ba?"", ""mabilis ba mag-charge?"").",Do NOT Use When: The product doesn't work at all or malfunctions (use PRO#FUNC).,
