review,color,condition,correctness,durability,effectiveness,functionality,material,sensory,measurement,general
at first gumagana cyapero pagnalowbat cya ndi na ya magamit kahit ilang oras mo cya icharge namamatay agadpoor qualitynot for recommended,0,0,0,1,0,0,0,0,0,0
mahina lng ang hangin khit nka maximum na mabilis ma low batt pinapawisan p rin lalo n yung batok,0,0,0,1,1,0,0,0,0,0
sabe q ky seller mga mahaba ang ipadala nya pagdating sakin isa ang mahaba kulay biege lang panu pa masusuot ng omorder skin e ang iiksi,0,0,0,0,0,0,0,0,1,0
grabe naman toh 2 liters order ko tapos dumating 1 liter lang bibigay ko pa sana sa mama ko kaso pang grade 1 diko na masauli kase diko alam pano dadalhin pa daw sa may jt para masaoli ehh wala akong alam san yun,0,0,0,0,0,0,0,0,1,0
not original pala ehe masikip yung isa di stretchable kaya sobrang liit pero ok naman ang iba,0,0,0,0,0,1,0,0,1,0
wala pa jusko lorddd unang bili ko sa cloud tester muna grabe doon sobrang bango talaga as in tas nung malaki na ung binili ko mapapamura ka talaga tangina bakit amoy sabon sobrang layo sa tester nung amoy jusko namann nagbabayad naman ng maayos jusko nakakaumay ung amoy,0,0,1,0,0,0,0,1,0,0
ok po sana kaso hindi po stretchable kaya hindi kasya yung biggest size nila,0,0,0,0,0,1,0,0,1,0
hindi po ngccharge yung earbuds sana nagrereply din kayo sa inquiries ng mga customer nyo bad customer service,0,0,0,0,0,1,0,0,0,1
hindi gaanong nag strait and umiinit sayang pera,0,0,0,0,1,1,0,0,0,0
di gumagana yung mic ng headset dont buy this kaya pala mura,0,0,0,0,0,1,0,0,0,0
not working yung naorder ko po sira yung pinaka tip nung item,0,1,0,0,0,1,0,0,0,0
seller not responding sayang pera dto 5 mins lang lowbat na,0,0,0,1,0,0,0,0,0,0
sira ung right side hnd sya nagchacharge bulok tagal pa dumating,0,1,0,0,0,1,0,0,0,0
deffective siyaone side lang ng fan ang gumagana tapos d naman nagflicker kapag inacharge sayang ang ibinayad ko ang hirap p naman kitain ng perasana bago nyoishipout chk nyo muna kung ok yong parcel,0,1,0,0,0,1,0,0,0,0
wrong color ipinadala ni seller sakin pero yung crocs itself is okay naman goods na for its price seller sa susunod paki inform naman po kapag wala yung kulay na gusto naming mga customers thank you,1,0,0,0,0,0,0,0,0,1
