Review,General Aspect
grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,product
walang silbing product bwesit di gumagana dalawa pa,product
d po maganda naman po yung neck fan pero po napaka tagal po sya dumating dec9 po dec 23 napo sya dumating chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller,product
010 sa effectiveness po nya 010 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes pero hindi man pla scam lang po,product
maganda dn same sa picture maganda sya medyo maliit nga lang sya,product
not worth it ang bilis nya malowbat and ang tagal nya pang icharge,product
mahirap buksan yung payong need mo pa itulak sana na check man lang bago ipadala,product
wrong color  design sana kung di na available yung black mag message namn kayo if ano available desisyon yarrrnnn kakainis ganitong seller,delivery
ayaw gumana ng remote control my dent ung product na pinadala ni seller sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item,product
excited ako sa order ko kasi matagal ko na gusto bumili ng mga mystery item so dahil 66 weve decided to order 5 mystery pouch expect ko 5 packs ang makukuha ko akala ko may sari sariling balot yun pala 5 products na sya sa iisang pouch,product
wrong color po yung dumating tapos yung green natanggal yung cover niya,product
510 ang mahal ng payong nd nmn ganun ka quality sira pa sabi ko seller if ayaw bilik pera ko change items nd na nag reply,product
close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me the problem is i ordered it as gift for a man so purple is not really ok and both bottles have scratches doesnt look new for me,product
ang pangit ng item sorry ahhh n ung size kala mo pang bata,product
010 d maganda yung product matqgal matuyo kumakalat sa mata hindi water proof,product
good quality product ok naman ung order mabilis dumating well pack din kaso orde ko lima tapos isa lang ang dumating ok lang kasi nakarefund ako try ko ulit umorder sa kanila baka kasi nalito lang si seller at magpapasko madaming order,product
sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto syahindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako,product
madikit naman kaso di pantay pantay yung cut di pantay pantay yung cut sa 1st 2 lines di pantay yun yung galing sa shop na to while sa 3rd lines sa ibang shopping app ko na binili di pantay pantay yung cut,product
mali po ata yung na bigay ni seller were expecting na ma received yung parang gradient na water bottle pero iba po yung na received namin but okay lang anjan na yan eh,delivery
hindi black yung eyeliner na dumating pwro black yakaga inorder ko,delivery
di nasunod yung ibang color na inorder ko pero oks lng good quality nmn,product
nung pagkabukas ko package yung keyboard is nakabukaka slightly open kala ko sira na fast delivery naman,product
ang dali ra masira oy at first madali gamitin ngayon ay di na nakakaputol ng hair na sstuck na sya yun lang thanks,product
wala seller service is excellent delivery was immidiate the product itself is poor very very weak airflow almost cant feel it hindi man lang ma ihip yung buhok ng aso,product
change feedback mag isa syang nag aactivate nang timer kagabi parang sira,product
dalawa yung binili ko isa sakin tsaka sa friend ko first of all kaunti lang yung laman nung isa habang medyo mas lamang yung sa isa about sa color maroon yung sa tingin kong dapat maging kakalabasan niya pero violet yung kulay niya kapag nilagay na sa labi also kulang,product
ok na sana pero hindi 10 meters 6 meters lang saan ang 4 meters kada isang roll magpa katotoo naman sa post niyo,product
amoy plastic amputa tagal ko inorder now lang dumating amoy plastic pa huhu why,product
not good not satisfied omg sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business sobrang nanghinayang ako,product
actually kala ko 10meters pro 6meters lang ng sinukat ko,product
subrang tagal e ship nag order ako ng 9 9 ngayon ko palang na receive 924 mag 1 month bago ko marecive ang item ang pangit ng service di responsible si seller,delivery
oil based kadisappoint lang yung cloud ksi parang iba yung amoy antapang may pag kalalake rin siyang scent which is not the same sa usual na binibili ko then amoy na amoy talaga yung alchohol sa bawat perfume pero i guess its worth the price mura lng naman kaya ok,product
late dumating ung parcel and sira ung producthnd gmaganaon lng tpos wla na,product
i dont think nsa 10meters ito lukot pa,product
hindi ko nagustuhan yung amoy i already received my parcel pero nung pag ka open ko may leak and hindi ko nagustuhan yung amoy nakakasuka yung amoy this is my first time to buy a product in this shop and i expect too much nakakadismaya,product
panget dito bumili pinapalitan yong order mo talaga kainis ng shop nato masyadong scam,service
parang laruan yung glads niya so dissapointed,product
di gumagana mic sabog pa tunog ang sabi ko bago ko i place order ko ay ipa double check yung product pero di nakinig,product
sira sya at may amoy na ung adoptor diko bet kase nasayang lng pera ko,product
010 di naman sya gumagawa e not satisfied buyer her,product
