review,sentiment
at first gumagana cya..pero pagnalowbat cya ndi na ya magamit kahit ilang oras mo cya icharge namamatay agad..poor quality..not for recommended..,1
grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas ,1
2l gray/black order ko. bakit 850ml lang po pinadala nyo. kung di na po available yung product dapat di nyo pinilit yung gusto nyo. kelangan ko po yung 2l kahit anong color n lng po sana. . . return? i think di na aabot sa saturday. hay naku! tsk.,1
walang silbing product.. bwesit. di gumagana dalawa pa,1
"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller",4
"0/10 sa effectiveness po nya 0/10 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko. kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes, pero hindi man pla scam lang po.",1
mahina lng ang hangin khit nka maximum na. mabilis ma low batt.. pinapawisan p rin lalo n yung batok,1
"maganda dn same sa picture maganda sya ,medyo maliit nga lang sya",4
not worth it ang bilis n'ya ma-lowbat and ang tagal n'ya pang i-charge,1
mahirap buksan yung payong. need mo pa itulak. sana na check man lang bago ipadala.,1
wrong color & design. sana kung di na available yung black mag message namn kayo if ano available. desisyon yarrrnnn? kakainis ganitong seller.,1
"ayaw gumana ng remote control, my dent ung product na pinadala ni seller, sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item",1
excited ako sa order ko kasi matagal ko na gusto bumili ng mga mystery item. so dahil 6.6 we've decided to order 5 mystery pouch. expect ko 5 packs ang makukuha ko. akala ko may sari sariling balot. yun pala 5 products na sya sa iisang pouch ,4
terrible blue order ko pero pink yung dumating sakin para sana sa anak kong lalaki pero pink yung dumating sakin nakaka dissapoint,1
wrong color po yung dumating tapos yung green natanggal yung cover niya,1
"5/10 ang mahal ng payong, nd nmn ganun ka quality.. sira pa, sabi ko seller if ayaw bilik pera ko change items nd na nag reply..",1
sabe q ky seller mga mahaba ang ipadala nya pagdating sakin isa ang mahaba kulay biege lang panu pa masusuot ng omorder skin e ang iiksi,1
"close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me. the problem is i ordered it as gift for a man, so purple is not really ok! and both bottles have scratches doesnt look new for me. ",1
"not good sana nman ung ok ipadeliver nyo,",1
ang pangit ng item sorry ahhh n ung size kala mo pang bata,1
5 mystery box binili ko pero 5 din na magkapareho na mystery box. anong mystery jan. bumili paman din ako ng 5 para ma surprise ako. na surprise nga kasi magkaka pareho umay. wala man lang mouse o keyboard.,1
"0/10 d maganda yung product matqgal matuyo, kumakalat sa mata, hindi water proof.",1
"good quality product ok naman ung order mabilis dumating, well pack din kaso orde ko lima tapos isa lang ang dumating ok lang kasi nakarefund ako try ko ulit umorder sa kanila baka kasi nalito lang si seller at magpapasko madaming order . ",4
sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto sya...hindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako...,1
madikit naman kaso di pantay pantay yung cut di pantay pantay yung cut sa 1st 2 lines di pantay yun yung galing sa shop na to while sa 3rd lines sa ibang shopping app ko na binili di pantay pantay yung cut,4
mali po ata yung na bigay ni seller we're expecting na ma received yung parang gradient na water bottle pero iba po yung na received namin but okay lang anjan na yan eh.,4
"hindi black yung eyeliner na dumating, pwro black yakaga inorder ko.",4
